9Humedad de Suelo a 20 cm9Humedad de Suelo a 50 cm
fecha	aver	aver
2015-05-10 00:00:00	61.8056	80.3681
2015-05-11 00:00:00	65.5972	84.4028
2015-05-12 00:00:00	68.3333	86.1597
2015-05-13 00:00:00	71.5764	88.6944
2015-05-14 00:00:00	75.7153	91.7361
2015-05-15 00:00:00	81.1319	94.8681
2015-05-16 00:00:00	88.4722	98.3611
2015-05-17 00:00:00	99.0417	102.2708
2015-05-18 00:00:00	109.4514	102.9167
2015-05-19 00:00:00	117.3681	102.7917
2015-05-20 00:00:00	121.1389	98.1944
2015-05-21 00:00:00	120.1111	92.1250
2015-05-22 00:00:00	118.9722	88.6875
2015-05-23 00:00:00	120.3889	87.8194
2015-05-24 00:00:00	117.0208	81.6181
2015-05-25 00:00:00	110.3056	75.9583
2015-05-26 00:00:00	105.5486	74.4444
2015-05-27 00:00:00	101.6042	73.3542
2015-05-28 00:00:00	97.6736	73.5625
2015-05-29 00:00:00	94.1042	74.6250
2015-05-30 00:00:00	92.6042	77.4861
2015-05-31 00:00:00	93.2917	79.7708
2015-06-01 00:00:00	92.0069	80.0694
2015-06-02 00:00:00	90.7014	82.1736
2015-06-03 00:00:00	91.3333	85.9653
2015-06-04 00:00:00	93.9653	90.5347
2015-06-05 00:00:00	96.9236	94.4028
2015-06-06 00:00:00	107.2708	100.2778
2015-06-07 00:00:00	115.4514	100.8819
2015-06-08 00:00:00	116.5764	98.2153
2015-06-09 00:00:00	116.1806	98.1111
2015-06-10 00:00:00	118.6667	99.5556
2015-06-11 00:00:00	117.0208	98.7361
2015-06-12 00:00:00	114.2847	97.4306
2015-06-13 00:00:00	109.1042	97.9028
2015-06-14 00:00:00	109.0764	101.4028
2015-06-15 00:00:00	107.4306	102.5139
2015-06-16 00:00:00	105.1667	105.2431
2015-06-17 00:00:00	104.7222	109.5208
2015-06-18 00:00:00	105.2500	111.2639
2015-06-19 00:00:00	103.7708	111.0833
2015-06-20 00:00:00	99.6250	109.9722
2015-06-21 00:00:00	97.2500	110.8819
2015-06-22 00:00:00	96.3750	113.2083
2015-06-23 00:00:00	97.8056	116.0486
2015-06-24 00:00:00	96.7361	117.1042
2015-06-25 00:00:00	97.5972	120.9236
2015-06-26 00:00:00	102.0139	126.3889
2015-06-27 00:00:00	111.8056	132.3194
2015-06-28 00:00:00	104.0556	115.3403
2015-06-29 00:00:00	23.3750	20.9097
2015-06-30 00:00:00	21.3889	17.7222
2015-07-01 00:00:00	22.0139	19.4028
2015-07-02 00:00:00	24.7083	22.0972
2015-07-03 00:00:00	26.4861	23.8611
2015-07-04 00:00:00	29.2083	26.0833
2015-07-05 00:00:00	31.3056	28.2014
2015-07-06 00:00:00	33.4306	30.0972
2015-07-07 00:00:00	36.5764	31.5069
2015-07-08 00:00:00	39.9792	32.8542
2015-07-09 00:00:00	42.0278	34.0208
2015-07-10 00:00:00	42.6528	35.0000
2015-07-11 00:00:00	42.0069	35.5972
2015-07-12 00:00:00	42.2917	35.0000
2015-07-13 00:00:00	42.0486	35.0000
2015-07-14 00:00:00	42.7153	35.0000
2015-07-15 00:00:00	42.7917	35.5417
2015-07-16 00:00:00	42.7014	36.7083
2015-07-17 00:00:00	42.6944	38.4514
2015-07-18 00:00:00	42.6875	39.9236
2015-07-19 00:00:00	42.9167	41.6181
2015-07-20 00:00:00	43.9306	43.1111
2015-07-21 00:00:00	44.9444	44.0000
2015-07-22 00:00:00	45.1944	45.0903
2015-07-23 00:00:00	45.0069	46.5417
2015-07-24 00:00:00	45.6181	48.3056
2015-07-25 00:00:00	46.3264	49.6944
2015-07-26 00:00:00	46.0000	51.2708
2015-07-27 00:00:00	46.9236	53.3681
2015-07-28 00:00:00	48.0208	55.4444
2015-07-29 00:00:00	50.4931	58.1319
2015-07-30 00:00:00	37.4375	39.8889
2015-07-31 00:00:00	22.7500	19.4514
2015-08-01 00:00:00	22.3472	15.9306
2015-08-02 00:00:00	21.9861	17.6042
2015-08-03 00:00:00	23.7917	19.7500
2015-08-04 00:00:00	28.3681	22.1597
2015-08-05 00:00:00	30.0000	24.3056
2015-08-06 00:00:00	29.3333	25.0000
2015-08-07 00:00:00	27.4236	25.2153
2015-08-08 00:00:00	27.0208	25.5764
2015-08-09 00:00:00	19.6181	18.4861
2015-08-10 00:00:00	24.9306	18.3056
2015-08-11 00:00:00	23.4861	15.6319
2015-08-12 00:00:00	22.3056	15.0000
2015-08-13 00:00:00	22.0000	15.0486
2015-08-14 00:00:00	21.8750	15.0000
2015-08-15 00:00:00	21.4653	15.4236
2015-08-16 00:00:00	21.0000	17.4931
2015-08-17 00:00:00	20.8750	18.7778
2015-08-18 00:00:00	20.0000	19.5694
2015-08-19 00:00:00	20.0000	21.3889
2015-08-20 00:00:00	22.7639	23.3819
2015-08-21 00:00:00	25.9236	24.8889
2015-08-22 00:00:00	28.0347	26.6667
2015-08-23 00:00:00	31.4375	29.0347
2015-08-24 00:00:00	35.7639	31.0000
2015-08-25 00:00:00	37.9236	32.6528
2015-08-26 00:00:00	38.7778	34.3750
2015-08-27 00:00:00	39.9375	36.8125
2015-08-28 00:00:00	41.2292	38.7778
2015-08-29 00:00:00	42.6667	41.2222
2015-08-30 00:00:00	44.6875	44.6806
2015-08-31 00:00:00	47.6806	48.8958
2015-09-01 00:00:00	51.5625	52.0486
2015-09-02 00:00:00	53.0417	52.0000
2015-09-03 00:00:00	54.6319	52.0000
2015-09-04 00:00:00	55.6389	52.3333
2015-09-05 00:00:00	56.3750	53.0556
2015-09-06 00:00:00	57.6250	55.0556
2015-09-07 00:00:00	58.9306	58.1736
2015-09-08 00:00:00	61.7500	62.8819
2015-09-09 00:00:00	65.6528	67.6042
2015-09-10 00:00:00	66.6042	68.7222
2015-09-11 00:00:00	66.1319	68.4375
2015-09-12 00:00:00	65.3542	68.4097
2015-09-13 00:00:00	65.5625	70.6250
2015-09-14 00:00:00	66.7431	74.3542
2015-09-15 00:00:00	68.9653	80.1597
2015-09-16 00:00:00	74.1042	88.3125
2015-09-17 00:00:00	78.7153	92.5903
2015-09-18 00:00:00	81.8958	93.6111
2015-09-19 00:00:00	84.9792	95.7778
2015-09-20 00:00:00	91.1597	100.9653
2015-09-21 00:00:00	99.5903	106.1597
2015-09-22 00:00:00	109.1181	109.1667
2015-09-23 00:00:00	94.5347	104.5903
2015-09-24 00:00:00	86.8819	99.5625
2015-09-25 00:00:00	85.2847	98.1042
2015-09-26 00:00:00	85.1944	97.5764
2015-09-27 00:00:00	85.8194	97.6944
2015-09-28 00:00:00	88.1667	99.5278
2015-09-29 00:00:00	90.7500	100.7917
2015-09-30 00:00:00	92.4653	100.2431
2015-10-01 00:00:00	87.8125	99.5417
2015-10-02 00:00:00	21.2708	99.9306
2015-10-03 00:00:00	27.3819	93.0833
2015-10-04 00:00:00	33.6250	85.9028
2015-10-05 00:00:00	35.7639	83.0278
2015-10-06 00:00:00	36.7153	86.8125
2015-10-07 00:00:00	38.0000	91.5347
2015-10-08 00:00:00	39.7014	91.2569
2015-10-09 00:00:00	41.0486	90.3750
2015-10-10 00:00:00	42.7083	88.5347
2015-10-11 00:00:00	43.8194	87.2153
2015-10-12 00:00:00	44.8472	87.3542
2015-10-13 00:00:00	46.0139	90.6597
2015-10-14 00:00:00	47.9028	94.9444
2015-10-15 00:00:00	50.1111	98.9444
2015-10-16 00:00:00	52.5069	99.8958
2015-10-17 00:00:00	54.8542	99.2639
2015-10-18 00:00:00	57.5625	99.1389
2015-10-19 00:00:00	59.7986	100.1042
2015-10-20 00:00:00	63.6667	103.6736
2015-10-21 00:00:00	69.5139	105.6319
2015-10-22 00:00:00	76.9861	108.7431
2015-10-23 00:00:00	86.8819	109.3194
2015-10-24 00:00:00	91.4820	106.0863
2015-10-25 00:00:00	92.4097	104.4028
2015-10-26 00:00:00	100.2569	110.0556
2015-10-27 00:00:00	108.3542	111.9583
2015-10-28 00:00:00	117.0556	114.2708
2015-10-29 00:00:00	57.7292	52.9583
2015-10-30 00:00:00	20.8681	31.1389
2015-10-31 00:00:00	24.1944	38.3681
2015-11-01 00:00:00	27.6552	41.3448
2015-11-02 00:00:00	31.3819	43.5486
2015-11-03 00:00:00	33.9375	46.1250
2015-11-04 00:00:00	34.9861	49.5972
2015-11-05 00:00:00	35.9722	53.5208
2015-11-06 00:00:00	37.0069	57.0625
2015-11-07 00:00:00	38.1389	61.7361
2015-11-08 00:00:00	39.9861	68.2778
2015-11-09 00:00:00	42.7083	77.4167
2015-11-10 00:00:00	22.1319	30.6181
2015-11-11 00:00:00	24.7431	41.1875
2015-11-12 00:00:00	25.6944	36.8264
2015-11-13 00:00:00	19.3889	22.2500
2015-11-14 00:00:00	23.2292	33.0347
2015-11-15 00:00:00	29.3889	39.3819
2015-11-16 00:00:00	32.5139	45.4375
2015-11-17 00:00:00	34.1042	53.0694
2015-11-18 00:00:00	36.5625	63.0417
2015-11-19 00:00:00	24.1111	54.0833
2015-11-20 00:00:00	19.9028	34.2222
2015-11-21 00:00:00	27.1042	37.0764
2015-11-22 00:00:00	32.4722	41.2847
2015-11-23 00:00:00	34.0000	47.4792
2015-11-24 00:00:00	35.7083	54.4375
2015-11-25 00:00:00	37.7708	62.8819
2015-11-26 00:00:00	40.3333	73.3403
2015-11-27 00:00:00	25.3472	53.2708
2015-11-28 00:00:00	25.2292	42.7153
2015-11-29 00:00:00	30.9375	45.9236
2015-11-30 00:00:00	33.3611	49.3472
2015-12-01 00:00:00	34.7569	54.2500
2015-12-02 00:00:00	36.6111	61.2153
2015-12-03 00:00:00	38.9444	68.7847
2015-12-04 00:00:00	41.7847	76.4514
2015-12-05 00:00:00	46.2361	85.6042
2015-12-06 00:00:00	51.3542	89.5208
2015-12-07 00:00:00	56.2708	89.8681
2015-12-08 00:00:00	61.7778	90.7708
2015-12-09 00:00:00	65.9444	90.5694
2015-12-10 00:00:00	72.0278	92.7639
2015-12-11 00:00:00	83.5556	96.6806
2015-12-12 00:00:00	63.7153	66.7361
2015-12-13 00:00:00	18.3958	20.0694
2015-12-14 00:00:00	18.3472	18.9167
2015-12-15 00:00:00	20.5347	24.8333
2015-12-16 00:00:00	25.5903	31.2083
2015-12-17 00:00:00	19.0486	19.9931
2015-12-18 00:00:00	17.6528	19.8056
2015-12-19 00:00:00	23.6667	27.7986
2015-12-20 00:00:00	29.0556	31.8125
2015-12-21 00:00:00	30.7431	34.5972
2015-12-22 00:00:00	32.3542	39.4653
2015-12-23 00:00:00	35.2014	45.2986
2015-12-24 00:00:00	37.0833	47.4514
2015-12-25 00:00:00	39.6806	50.1111
2015-12-26 00:00:00	44.0069	55.5347
2015-12-27 00:00:00	50.1181	62.9444
2015-12-28 00:00:00	59.3333	71.2431
2015-12-29 00:00:00	71.7014	77.7708
2015-12-30 00:00:00	84.4028	81.0833
2015-12-31 00:00:00	92.1458	82.3889
2016-01-01 00:00:00	93.3611	80.1875
2016-01-02 00:00:00	94.3542	79.9653
2016-01-03 00:00:00	95.0347	80.2917
2016-01-04 00:00:00	82.0972	75.7083
2016-01-05 00:00:00	42.8472	72.4583
2016-01-06 00:00:00	39.6528	72.1944
2016-01-07 00:00:00	39.6458	69.7083
2016-01-08 00:00:00	39.7917	66.2986
2016-01-09 00:00:00	40.9306	64.9514
2016-01-10 00:00:00	42.7847	64.7292
2016-01-11 00:00:00	44.9097	64.8125
2016-01-12 00:00:00	47.0278	65.2014
2016-01-13 00:00:00	40.6389	59.7431
2016-01-14 00:00:00	39.6319	58.4306
2016-01-15 00:00:00	40.9097	59.3125
2016-01-16 00:00:00	43.4167	60.3889
2016-01-17 00:00:00	46.6528	60.9375
2016-01-18 00:00:00	48.0139	58.7292
2016-01-19 00:00:00	51.2292	59.6806
2016-01-20 00:00:00	58.5347	63.5139
2016-01-21 00:00:00	68.2083	67.5000
2016-01-22 00:00:00	75.3542	69.5833
2016-01-23 00:00:00	79.3125	70.5833
2016-01-24 00:00:00	81.1250	71.6250
2016-01-25 00:00:00	72.8750	68.1042
2016-01-26 00:00:00	69.6736	66.7847
2016-01-27 00:00:00	70.3194	67.4306
2016-01-28 00:00:00	69.0417	66.6875
2016-01-29 00:00:00	71.1111	69.0000
2016-01-30 00:00:00	73.5833	70.5417
2016-01-31 00:00:00	76.0417	71.9375
2016-02-01 00:00:00	78.1736	72.5764
2016-02-02 00:00:00	78.7222	71.8819
2016-02-03 00:00:00	83.5347	74.8056
2016-02-04 00:00:00	87.6458	77.7014
2016-02-05 00:00:00	90.2222	80.0417
2016-02-06 00:00:00	90.9028	80.8750
2016-02-07 00:00:00	93.8056	84.1667
2016-02-08 00:00:00	90.8681	84.9722
2016-02-09 00:00:00	85.4167	83.9028
2016-02-10 00:00:00	86.2708	84.7708
2016-02-11 00:00:00	86.7083	85.3125
2016-02-12 00:00:00	87.8681	85.8750
2016-02-13 00:00:00	86.0764	85.7778
2016-02-14 00:00:00	80.8264	82.5069
2016-02-15 00:00:00	81.1042	83.5347
2016-02-16 00:00:00	82.6042	84.5139
2016-02-17 00:00:00	24.2569	23.9931
2016-02-18 00:00:00	13.3542	17.6806
2016-02-19 00:00:00	15.1111	15.3472
2016-02-20 00:00:00	15.0000	14.3611
2016-02-21 00:00:00	14.1944	17.8750
2016-02-22 00:00:00	15.9028	19.6875
2016-02-23 00:00:00	17.5694	20.9444
2016-02-24 00:00:00	18.5764	21.9514
2016-02-25 00:00:00	19.5486	22.4236
2016-02-26 00:00:00	15.9306	12.4653
2016-02-27 00:00:00	16.0000	14.3403
2016-02-28 00:00:00	15.6667	17.4792
2016-02-29 00:00:00	15.0000	19.5903
2016-03-01 00:00:00	16.0972	14.9583
2016-03-02 00:00:00	15.4236	15.2778
2016-03-03 00:00:00	15.0000	17.5694
2016-03-04 00:00:00	15.0000	18.7027
